date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-03-04,NY,0,54,0,6.0,0,
2020-03-05,NY,44,98,16,22.0,0,
2020-03-06,NY,27,125,11,33.0,0,
2020-03-07,NY,43,168,43,76.0,0,
2020-03-08,NY,29,197,29,105.0,0,
2020-03-09,NY,37,234,37,142.0,0,
2020-03-10,NY,31,265,31,173.0,0,
2020-03-11,NY,43,308,43,216.0,0,
2020-03-12,NY,0,308,0,216.0,0,
2020-03-13,NY,2892,3200,205,421.0,0,
2020-03-14,NY,103,3303,103,524.0,0,
2020-03-15,NY,1969,5272,205,729.0,3,3.0
2020-03-16,NY,221,5493,221,950.0,4,7.0
2020-03-17,NY,1713,7206,750,1700.0,0,7.0
2020-03-18,NY,7391,14597,682,2382.0,5,12.0
2020-03-19,NY,7687,22284,1770,4152.0,0,12.0
2020-03-20,NY,10143,32427,2950,7102.0,23,35.0
2020-03-21,NY,13010,45437,3254,10356.0,9,44.0
2020-03-22,NY,15964,61401,4812,15168.0,70,114.0
2020-03-23,NY,16888,78289,5707,20875.0,0,114.0
2020-03-24,NY,12981,91270,4790,25665.0,96,210.0
2020-03-25,NY,12209,103479,5146,30811.0,75,285.0
2020-03-26,NY,18625,122104,6447,37258.0,100,385.0
2020-03-27,NY,23649,145753,7377,44635.0,134,519.0
2020-03-28,NY,10181,155934,7683,52318.0,209,728.0
2020-03-29,NY,16426,172360,7195,59513.0,237,965.0
2020-03-30,NY,14108,186468,6984,66497.0,253,1218.0
2020-03-31,NY,18718,205186,9298,75795.0,332,1550.0
2020-04-01,NY,15694,220880,7917,83712.0,391,1941.0
2020-04-02,NY,18085,238965,8669,92381.0,432,2373.0
2020-04-03,NY,21555,260520,10482,102863.0,562,2935.0
2020-04-04,NY,23101,283621,10841,113704.0,630,3565.0
2020-04-05,NY,18659,302280,8327,122031.0,594,4159.0
2020-04-06,NY,18531,320811,8658,130689.0,599,4758.0
2020-04-07,NY,19247,340058,8174,138863.0,731,5489.0
2020-04-08,NY,25095,365153,10453,149316.0,779,6268.0
2020-04-09,NY,26396,391549,10621,159937.0,799,7067.0
2020-04-10,NY,26336,417885,10575,170512.0,777,7844.0
2020-04-11,NY,23095,440980,9946,180458.0,783,8627.0
2020-04-12,NY,20621,461601,8236,188694.0,758,9385.0
2020-04-13,NY,16756,478357,6337,195031.0,671,10056.0
2020-04-14,NY,20786,499143,7177,202208.0,778,10834.0
2020-04-15,NY,26869,526012,11571,213779.0,752,11586.0
2020-04-16,NY,24567,550579,8505,222284.0,606,12192.0
2020-04-17,NY,22644,573223,7358,229642.0,630,12822.0
2020-04-18,NY,23309,596532,7090,236732.0,540,13362.0
2020-04-19,NY,21023,617555,6054,242786.0,507,13869.0
2020-04-20,NY,16306,633861,4726,247512.0,478,14347.0
2020-04-21,NY,15464,649325,4178,251690.0,481,14828.0
2020-04-22,NY,20657,669982,5526,257216.0,474,15302.0
2020-04-23,NY,25938,695920,6244,263460.0,438,15740.0
2020-04-24,NY,34736,730656,8130,271590.0,422,16162.0
2020-04-25,NY,46912,777568,10553,282143.0,437,16599.0
2020-04-26,NY,27782,805350,5902,288045.0,367,16966.0
2020-04-27,NY,20745,826095,3951,291996.0,337,17303.0
2020-04-28,NY,18899,844994,3110,295106.0,335,17638.0
2020-04-29,NY,27487,872481,4585,299691.0,377,18015.0
2020-04-30,NY,28155,900636,4681,304372.0,306,18321.0
2020-05-01,NY,26802,927438,3942,308314.0,289,18610.0
2020-05-02,NY,31633,959071,4663,312977.0,299,18909.0
2020-05-03,NY,26840,985911,3438,316415.0,280,19189.0
2020-05-04,NY,21399,1007310,2538,318953.0,226,19415.0
2020-05-05,NY,21589,1028899,2239,321192.0,230,19645.0
2020-05-06,NY,27022,1055921,2786,323978.0,232,19877.0
2020-05-07,NY,33995,1089916,3671,327649.0,951,20828.0
2020-05-08,NY,31627,1121543,2758,330407.0,217,21045.0
2020-05-09,NY,32225,1153768,2715,333122.0,226,21271.0
2020-05-10,NY,29230,1182998,2273,335395.0,207,21478.0
2020-05-11,NY,21653,1204651,1660,337055.0,162,21640.0
2020-05-12,NY,20462,1225113,1430,338485.0,205,21845.0
2020-05-13,NY,33794,1258907,2176,340661.0,168,22013.0
2020-05-14,NY,39850,1298757,2390,343051.0,157,22170.0
2020-05-15,NY,39291,1338048,2762,345813.0,134,22304.0
2020-05-16,NY,40669,1378717,2419,348232.0,174,22478.0
2020-05-17,NY,34679,1413396,1889,350121.0,141,22619.0
2020-05-18,NY,26161,1439557,1250,351371.0,110,22729.0
2020-05-19,NY,28182,1467739,1474,352845.0,114,22843.0
2020-05-20,NY,38097,1505836,1525,354370.0,133,22976.0
2020-05-21,NY,49219,1555055,2088,356458.0,107,23083.0
2020-05-22,NY,45738,1600793,1696,358154.0,112,23195.0
2020-05-23,NY,51268,1652061,1772,359926.0,87,23282.0
2020-05-24,NY,47765,1699826,1589,361515.0,109,23391.0
2020-05-25,NY,39623,1739449,1249,362764.0,97,23488.0
2020-05-26,NY,34679,1774128,1072,363836.0,76,23564.0
2020-05-27,NY,37416,1811544,1129,364965.0,79,23643.0
2020-05-28,NY,65245,1876789,1768,366733.0,79,23722.0
2020-05-29,NY,67341,1944130,1551,368284.0,58,23780.0
2020-05-30,NY,61251,2005381,1376,369660.0,68,23848.0
2020-05-31,NY,58444,2063825,1110,370770.0,57,23905.0
2020-06-01,NY,49952,2113777,941,371711.0,54,23959.0
2020-06-02,NY,54054,2167831,1329,373040.0,64,24023.0
2020-06-03,NY,61642,2229473,1045,374085.0,56,24079.0
2020-06-04,NY,63559,2293032,1048,375133.0,54,24133.0
2020-06-05,NY,66480,2359512,1075,376208.0,42,24175.0
2020-06-06,NY,77895,2437407,1108,377316.0,37,24212.0
2020-06-07,NY,60435,2497842,781,378097.0,47,24259.0
2020-06-08,NY,58054,2555896,702,378799.0,40,24299.0
2020-06-09,NY,49973,2605869,683,379482.0,49,24348.0
2020-06-10,NY,62297,2668166,674,380156.0,56,24404.0
2020-06-11,NY,60839,2729005,736,380892.0,38,24442.0
2020-06-12,NY,72395,2801400,822,381714.0,53,24495.0
2020-06-13,NY,70840,2872240,916,382630.0,32,24527.0
2020-06-14,NY,62359,2934599,694,383324.0,24,24551.0
2020-06-15,NY,56611,2991210,620,383944.0,28,24579.0
2020-06-16,NY,60568,3051778,631,384575.0,29,24608.0
2020-06-17,NY,59341,3111119,567,385142.0,21,24629.0
2020-06-18,NY,68541,3179660,618,385760.0,32,24661.0
2020-06-19,NY,79303,3258963,796,386556.0,25,24686.0
2020-06-20,NY,68830,3327793,716,387272.0,24,24710.0
2020-06-21,NY,67526,3395319,664,387936.0,15,24725.0
2020-06-22,NY,56780,3452099,552,388488.0,14,24739.0
2020-06-23,NY,48709,3500808,597,389085.0,27,24766.0
2020-06-24,NY,51144,3551952,581,389666.0,16,24782.0
2020-06-25,NY,67642,3619594,749,390415.0,18,24800.0
2020-06-26,NY,61723,3681317,805,391220.0,14,24814.0
2020-06-27,NY,73262,3754579,703,391923.0,16,24830.0
2020-06-28,NY,61906,3816485,616,392539.0,5,24835.0
2020-06-29,NY,46428,3862913,391,392930.0,7,24842.0
2020-06-30,NY,52025,3914938,524,393454.0,13,24855.0
2020-07-01,NY,56710,3971648,625,394079.0,11,24866.0
2020-07-02,NY,69945,4041593,875,394954.0,11,24877.0
2020-07-03,NY,66392,4107985,918,395872.0,8,24885.0
2020-07-04,NY,62403,4170388,726,396598.0,11,24896.0
2020-07-05,NY,63415,4233803,533,397131.0,8,24904.0
2020-07-06,NY,54328,4288131,518,397649.0,9,24913.0
2020-07-07,NY,56736,4344867,588,398237.0,11,24924.0
2020-07-08,NY,57585,4402452,692,398929.0,20,24944.0
2020-07-09,NY,65564,4468016,584,399513.0,15,24959.0
2020-07-10,NY,73558,4541574,786,400299.0,9,24968.0
2020-07-11,NY,69203,4610777,730,401029.0,6,24974.0
2020-07-12,NY,62418,4673195,677,401706.0,5,24979.0
2020-07-13,NY,51687,4724882,557,402263.0,10,24989.0
2020-07-14,NY,60045,4784927,912,403175.0,5,24994.0
2020-07-15,NY,63598,4848525,831,404006.0,9,25003.0
2020-07-16,NY,72685,4921210,769,404775.0,11,25014.0
2020-07-17,NY,78239,4999449,776,405551.0,10,25024.0
2020-07-18,NY,69817,5069266,754,406305.0,11,25035.0
2020-07-19,NY,46204,5115470,502,406807.0,13,25048.0
2020-07-20,NY,49342,5164812,519,407326.0,8,25056.0
2020-07-21,NY,66169,5230981,855,408181.0,2,25058.0
2020-07-22,NY,67659,5298640,705,408886.0,10,25068.0
2020-07-23,NY,69698,5368338,811,409697.0,13,25081.0
2020-07-24,NY,76507,5444845,753,410450.0,9,25090.0
2020-07-25,NY,71466,5516311,750,411200.0,13,25103.0
2020-07-26,NY,53568,5569879,536,411736.0,3,25106.0
2020-07-27,NY,57270,5627149,608,412344.0,11,25117.0
2020-07-28,NY,57397,5684546,534,412878.0,9,25126.0
2020-07-29,NY,62276,5746822,715,413593.0,6,25132.0
2020-07-30,NY,73546,5820368,777,414370.0,13,25145.0
2020-07-31,NY,68869,5889237,644,415014.0,5,25150.0
