date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-03-04,CA,0,515,0,53.0,0,
2020-03-04,FL,0,26,0,2.0,0,
2020-03-04,NY,0,54,0,6.0,0,
2020-03-04,TX,0,1,0,1.0,0,
2020-03-05,CA,0,515,0,53.0,0,
2020-03-05,FL,14,40,7,9.0,0,
2020-03-05,NY,44,98,16,22.0,0,
2020-03-05,TX,0,1,0,1.0,0,
2020-03-06,CA,7,522,7,60.0,0,
2020-03-06,FL,24,64,0,9.0,0,
2020-03-06,NY,27,125,11,33.0,0,
2020-03-06,PA,0,2,0,2.0,0,
2020-03-06,TX,4,5,4,5.0,0,
2020-03-07,CA,9,531,9,69.0,0,
2020-03-07,FL,50,114,5,14.0,0,
2020-03-07,NY,43,168,43,76.0,0,
2020-03-07,PA,2,4,2,4.0,0,
2020-03-07,TX,3,8,3,8.0,0,
2020-03-08,CA,19,550,19,88.0,0,
2020-03-08,FL,21,135,3,17.0,0,
2020-03-08,NY,29,197,29,105.0,0,
2020-03-08,PA,2,6,2,6.0,0,
2020-03-08,TX,0,8,0,8.0,0,
2020-03-09,CA,254,804,26,114.0,0,
2020-03-09,FL,23,158,1,18.0,0,
2020-03-09,NY,37,234,37,142.0,0,
2020-03-09,PA,4,10,4,10.0,0,
2020-03-09,TX,4,12,4,12.0,0,
2020-03-10,CA,19,823,19,133.0,0,
2020-03-10,FL,83,241,1,19.0,0,
2020-03-10,NY,31,265,31,173.0,0,
2020-03-10,PA,2,12,2,12.0,0,
2020-03-10,TX,1,13,1,13.0,0,
2020-03-11,CA,250,1073,24,157.0,0,
2020-03-11,FL,88,329,9,28.0,2,2.0
2020-03-11,NY,43,308,43,216.0,0,
2020-03-11,PA,92,104,4,16.0,0,
2020-03-11,TX,8,21,8,21.0,0,
2020-03-12,CA,45,1118,45,202.0,4,4.0
2020-03-12,FL,4,333,4,32.0,0,2.0
2020-03-12,NY,0,308,0,216.0,0,
2020-03-12,PA,34,138,6,22.0,0,
2020-03-12,TX,2,23,2,23.0,0,
2020-03-13,CA,0,1118,0,202.0,0,4.0
2020-03-13,FL,195,528,18,50.0,0,2.0
2020-03-13,NY,2892,3200,205,421.0,0,
2020-03-13,PA,43,181,19,41.0,0,
2020-03-13,TX,16,39,16,39.0,0,
2020-03-14,CA,50,1168,50,252.0,1,5.0
2020-03-14,FL,27,555,27,77.0,1,3.0
2020-03-14,NY,103,3303,103,524.0,0,
2020-03-14,PA,71,252,6,47.0,0,
2020-03-14,TX,12,51,12,51.0,0,
2020-03-15,CA,41,1209,41,293.0,0,5.0
2020-03-15,FL,239,794,39,116.0,1,4.0
2020-03-15,NY,1969,5272,205,729.0,3,3.0
2020-03-15,PA,16,268,16,63.0,0,
2020-03-15,TX,5,56,5,56.0,0,
2020-03-16,CA,7107,8316,42,335.0,1,6.0
2020-03-16,FL,31,825,25,141.0,0,4.0
2020-03-16,NY,221,5493,221,950.0,4,7.0
2020-03-16,PA,478,746,13,76.0,0,
2020-03-16,TX,1,57,1,57.0,0,
2020-03-17,CA,148,8464,148,483.0,5,11.0
2020-03-17,FL,301,1126,45,186.0,2,6.0
2020-03-17,NY,1713,7206,750,1700.0,0,7.0
2020-03-17,PA,229,975,20,96.0,0,
2020-03-17,TX,1211,1268,7,64.0,1,1.0
2020-03-18,CA,128,8592,128,611.0,2,13.0
2020-03-18,FL,413,1539,128,314.0,1,7.0
2020-03-18,NY,7391,14597,682,2382.0,5,12.0
2020-03-18,PA,345,1320,37,133.0,1,1.0
2020-03-18,TX,639,1907,19,83.0,1,2.0
2020-03-19,CA,1119,9711,313,924.0,5,18.0
2020-03-19,FL,384,1923,76,390.0,1,8.0
2020-03-19,NY,7687,22284,1770,4152.0,0,12.0
2020-03-19,PA,473,1793,52,185.0,0,1.0
2020-03-19,TX,448,2355,60,143.0,1,3.0
2020-03-20,CA,1776,11487,139,1063.0,2,20.0
2020-03-20,FL,467,2390,130,520.0,2,10.0
2020-03-20,NY,10143,32427,2950,7102.0,23,35.0
2020-03-20,PA,1049,2842,83,268.0,0,1.0
2020-03-20,TX,2922,5277,51,194.0,2,5.0
2020-03-21,CA,1041,12528,216,1279.0,4,24.0
2020-03-21,FL,4847,7237,138,658.0,2,12.0
2020-03-21,NY,13010,45437,3254,10356.0,9,44.0
2020-03-21,PA,1295,4137,103,371.0,1,2.0
2020-03-21,TX,1245,6522,110,304.0,0,5.0
2020-03-22,CA,312,12840,257,1536.0,3,27.0
2020-03-22,FL,1583,8820,172,830.0,1,13.0
2020-03-22,NY,15964,61401,4812,15168.0,70,114.0
2020-03-22,PA,1306,5443,108,479.0,0,2.0
2020-03-22,TX,2234,8756,30,334.0,0,5.0
2020-03-23,CA,1460,14300,197,1733.0,0,27.0
2020-03-23,FL,3414,12234,341,1171.0,1,14.0
2020-03-23,NY,16888,78289,5707,20875.0,0,114.0
2020-03-23,PA,1796,7239,165,644.0,4,6.0
2020-03-23,TX,1299,10055,18,352.0,3,8.0
2020-03-24,CA,1254,15554,369,2102.0,13,40.0
2020-03-24,FL,2305,14539,241,1412.0,4,18.0
2020-03-24,NY,12981,91270,4790,25665.0,96,210.0
2020-03-24,PA,2255,9494,207,851.0,1,7.0
2020-03-24,TX,1112,11167,58,410.0,1,9.0
2020-03-25,CA,2722,18276,253,2355.0,13,53.0
2020-03-25,FL,2517,17056,270,1682.0,4,22.0
2020-03-25,NY,12209,103479,5146,30811.0,75,285.0
2020-03-25,PA,2826,12320,276,1127.0,4,11.0
2020-03-25,TX,2327,13494,564,974.0,3,12.0
